,department,education,gender,no_of_trainings,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score
20640,HR,Bachelor's,f,0.0,0.0,-0.2,0.0,0.0,-0.52
20641,Technology,Bachelor's,f,0.0,0.0,-0.2,0.0,0.0,0.64
20642,Analytics,Bachelor's,m,0.0,-2.0,0.2,0.0,0.0,0.96
20643,Procurement,Bachelor's,m,0.0,1.0,-0.4,0.0,0.0,0.68
20644,Sales & Marketing,Bachelor's,m,0.0,0.0,-0.6,0.0,0.0,-0.24
20645,Operations,Bachelor's,f,0.0,1.0,0.4,0.0,0.0,0.04
20646,Finance,Bachelor's,m,0.0,0.0,-0.4,0.0,0.0,-0.08
20647,Procurement,Bachelor's,m,0.0,0.0,0.0,1.0,0.0,0.32
20648,R&D,Master's & above,f,0.0,0.0,-0.8,0.0,0.0,1.0
20649,Sales & Marketing,Bachelor's,m,1.0,0.0,-0.4,0.0,0.0,-0.52
20650,Technology,Bachelor's,m,0.0,0.0,2.6,0.0,1.0,0.76
20651,Operations,Master's & above,f,0.0,2.0,0.6,0.0,0.0,0.4
20652,Sales & Marketing,Bachelor's,m,0.0,1.0,0.2,1.0,1.0,1.16
20653,Sales & Marketing,Bachelor's,f,4.0,0.0,-0.6,0.0,0.0,-0.44
20654,Finance,Bachelor's,f,0.0,2.0,-0.2,1.0,0.0,-0.16
20655,Sales & Marketing,Master's & above,f,0.0,-2.0,0.2,0.0,0.0,-0.4
20656,Operations,Bachelor's,f,0.0,0.0,-0.8,0.0,0.0,-0.08
20657,Operations,Bachelor's,m,0.0,2.0,2.0,1.0,0.0,-0.04
20658,HR,Master's & above,m,1.0,0.0,-0.6,0.0,0.0,-0.52
20659,Operations,Master's & above,m,0.0,-2.0,1.4,0.0,0.0,0.12
20660,Technology,Master's & above,f,0.0,0.0,2.8,1.0,0.0,0.8
20661,Procurement,Bachelor's,f,0.0,1.0,0.0,0.0,0.0,0.36
20662,Operations,Master's & above,f,0.0,2.0,0.0,1.0,0.0,-0.08
20663,Sales & Marketing,Master's & above,m,0.0,-2.0,1.8,0.0,0.0,-0.4
20664,Finance,Bachelor's,f,0.0,1.0,-0.2,0.0,0.0,-0.12
20665,Finance,Master's & above,m,0.0,1.0,0.8,0.0,0.0,-0.24
20666,Operations,Bachelor's,m,0.0,0.0,-0.4,0.0,0.0,-0.08
20667,Sales & Marketing,Master's & above,m,0.0,-2.0,0.8,0.0,0.0,-0.24
20668,Finance,Bachelor's,f,0.0,2.0,0.0,1.0,0.0,-0.32
20669,Analytics,Bachelor's,m,1.0,0.0,-0.2,1.0,0.0,1.12
20670,Technology,Bachelor's,m,2.0,0.0,-0.6,1.0,0.0,0.8
20671,Sales & Marketing,Bachelor's,m,2.0,0.0,0.2,0.0,0.0,-0.64
20672,Procurement,Master's & above,m,0.0,-2.0,0.6,0.0,0.0,0.28
20673,Technology,Master's & above,m,0.0,0.0,0.2,0.0,0.0,0.88
20674,Sales & Marketing,Bachelor's,f,0.0,2.0,1.2,0.0,0.0,-0.24
20675,Procurement,Bachelor's,m,0.0,0.0,-0.8,1.0,0.0,0.32
20676,HR,Bachelor's,m,1.0,0.0,-0.2,0.0,0.0,-0.4
20677,Analytics,Bachelor's,m,0.0,-1.0,-0.4,0.0,0.0,1.0
20678,Procurement,Bachelor's,f,2.0,0.0,-0.2,0.0,0.0,0.48
20679,Technology,Master's & above,m,0.0,0.0,0.0,0.0,0.0,0.76
20680,Technology,Bachelor's,m,0.0,0.0,-0.4,1.0,0.0,1.0
20681,Operations,Master's & above,f,0.0,0.0,0.6,0.0,0.0,0.04
20682,HR,Bachelor's,f,0.0,0.0,-0.8,1.0,0.0,-0.44
20683,Operations,Master's & above,f,0.0,-1.0,0.8,0.0,0.0,0.0
20684,Operations,Bachelor's,f,0.0,0.0,1.0,0.0,0.0,-0.16
20685,Operations,Bachelor's,m,0.0,0.0,0.4,1.0,0.0,0.0
20686,Technology,Master's & above,f,0.0,0.0,1.8,0.0,0.0,0.76
20687,Procurement,Bachelor's,f,0.0,0.0,2.0,0.0,0.0,0.48
20688,Technology,Bachelor's,m,0.0,0.0,-0.4,0.0,0.0,0.92
20689,Procurement,Bachelor's,m,0.0,0.0,-0.2,0.0,0.0,0.56
20690,Operations,Master's & above,m,0.0,1.0,0.4,1.0,0.0,-0.12
20691,Procurement,Master's & above,m,0.0,-1.0,0.8,0.0,0.0,0.44
20692,Analytics,Bachelor's,m,0.0,2.0,-0.6,1.0,0.0,1.04
20693,Procurement,Master's & above,f,0.0,0.0,-0.2,0.0,0.0,0.48
20694,Operations,Bachelor's,f,0.0,0.0,-0.6,0.0,1.0,0.0
20695,Sales & Marketing,Bachelor's,m,1.0,-2.0,-0.6,0.0,0.0,-0.48
20696,Sales & Marketing,Master's & above,f,0.0,0.0,-0.2,1.0,0.0,-0.36
20697,Finance,Bachelor's,f,0.0,2.0,-0.6,1.0,1.0,0.04
20698,Technology,Bachelor's,f,0.0,0.0,-0.8,0.0,0.0,1.32
20699,Procurement,Bachelor's,m,0.0,2.0,-0.2,0.0,0.0,0.36
20700,Sales & Marketing,Master's & above,m,0.0,2.0,-0.4,0.0,0.0,-0.48
20701,Analytics,Bachelor's,m,0.0,-2.0,0.4,1.0,0.0,0.92
20702,Analytics,Bachelor's,m,0.0,0.0,-0.8,0.0,0.0,1.04
20703,Sales & Marketing,Bachelor's,m,0.0,-1.0,-0.4,0.0,0.0,-0.44
20704,Finance,Bachelor's,m,1.0,1.0,0.8,0.0,1.0,0.0
20705,Finance,Bachelor's,m,0.0,2.0,-0.6,1.0,0.0,-0.08
20706,Finance,Bachelor's,m,0.0,-2.0,0.4,1.0,0.0,-0.04
20707,Operations,Master's & above,m,0.0,1.0,0.4,0.0,0.0,0.0
20708,Technology,Master's & above,f,0.0,-1.0,1.8,0.0,0.0,0.76
20709,Technology,Master's & above,f,0.0,2.0,0.0,1.0,0.0,0.76
20710,Analytics,Master's & above,m,0.0,2.0,1.4,0.0,0.0,1.12
20711,Technology,Bachelor's,f,0.0,1.0,0.0,0.0,0.0,0.68
20712,Operations,Bachelor's,m,0.0,-2.0,0.0,1.0,0.0,-0.12
20713,Sales & Marketing,Master's & above,m,0.0,-1.0,1.0,0.0,0.0,-0.52
20714,Technology,Bachelor's,m,1.0,0.0,-0.8,1.0,0.0,0.8
20715,Sales & Marketing,Bachelor's,f,0.0,0.0,-0.4,0.0,0.0,-0.24
20716,HR,Bachelor's,m,0.0,1.0,0.0,0.0,0.0,-0.48
20717,Analytics,Bachelor's,m,0.0,2.0,-0.4,1.0,0.0,1.0
20718,Technology,Bachelor's,f,2.0,0.0,-0.4,0.0,0.0,0.68
20719,Technology,Master's & above,m,1.0,1.0,-0.4,0.0,0.0,0.8
20720,Technology,Master's & above,m,0.0,0.0,5.6,0.0,0.0,0.84
20721,Technology,Bachelor's,m,0.0,-2.0,0.4,0.0,0.0,0.72
20722,HR,Bachelor's,f,0.0,0.0,-0.6,0.0,0.0,-0.4
20723,Sales & Marketing,Bachelor's,m,1.0,-2.0,0.2,0.0,0.0,-0.28
20724,Technology,Bachelor's,f,0.0,0.0,0.8,0.0,0.0,0.8
20725,Technology,Bachelor's,f,0.0,0.0,-0.6,0.0,0.0,0.88
20726,Analytics,Bachelor's,m,1.0,1.0,-0.4,1.0,0.0,1.0
20727,Sales & Marketing,Bachelor's,m,0.0,1.0,-0.2,1.0,0.0,-0.24
20728,Sales & Marketing,Master's & above,m,0.0,0.0,-0.4,1.0,0.0,-0.48
20729,Operations,Bachelor's,f,0.0,1.0,-0.4,0.0,0.0,0.04
20730,Sales & Marketing,Bachelor's,f,0.0,1.0,1.2,0.0,0.0,-0.48
20731,Sales & Marketing,Bachelor's,m,0.0,-2.0,0.6,0.0,0.0,-0.6
20732,Operations,Bachelor's,m,0.0,0.0,-0.2,1.0,0.0,-0.16
20733,Sales & Marketing,Bachelor's,m,0.0,1.0,5.2,0.0,0.0,-0.32
20734,Technology,Bachelor's,m,0.0,0.0,0.4,0.0,0.0,0.64
20735,Procurement,Bachelor's,f,0.0,0.0,2.0,0.0,0.0,0.44
20736,HR,Bachelor's,m,0.0,-1.0,0.6,1.0,0.0,-0.44
20737,Operations,Bachelor's,f,0.0,0.0,4.2,0.0,0.0,0.04
20738,Operations,Bachelor's,f,0.0,0.0,-0.6,0.0,0.0,-0.12
20739,Sales & Marketing,Master's & above,m,1.0,0.0,0.0,0.0,0.0,-0.56
20740,R&D,Bachelor's,m,1.0,2.0,-0.4,0.0,0.0,0.88
20741,Sales & Marketing,Master's & above,m,1.0,-2.0,0.4,0.0,0.0,-0.52
20742,Technology,Master's & above,m,0.0,-1.0,2.6,0.0,0.0,0.8
20743,Operations,Master's & above,m,0.0,1.0,0.4,1.0,0.0,0.04
20744,Analytics,Bachelor's,m,0.0,0.0,-0.2,0.0,0.0,0.88
20745,Technology,Bachelor's,m,0.0,2.0,0.2,1.0,0.0,0.84
20746,Procurement,Bachelor's,m,0.0,-2.0,0.0,0.0,0.0,0.32
20747,Procurement,Bachelor's,f,0.0,1.0,0.6,1.0,0.0,0.4
20748,Technology,Bachelor's,f,0.0,0.0,-0.4,0.0,0.0,0.76
20749,Technology,Bachelor's,f,0.0,1.0,-0.6,1.0,0.0,0.84
20750,Finance,Bachelor's,m,1.0,0.0,0.2,0.0,0.0,-0.04
20751,Procurement,Bachelor's,m,2.0,-1.0,-0.2,0.0,0.0,0.24
20752,Operations,Bachelor's,f,0.0,0.0,-0.8,1.0,0.0,-0.04
20753,HR,Bachelor's,m,1.0,-2.0,0.2,0.0,0.0,-0.48
20754,Analytics,Master's & above,m,0.0,0.0,-0.4,0.0,0.0,0.8
20755,Operations,Bachelor's,m,0.0,0.0,-0.8,1.0,1.0,-0.12
20756,Operations,Below Secondary,f,0.0,2.0,-0.8,1.0,0.0,-0.12
20757,Technology,Master's & above,f,1.0,2.0,-0.2,1.0,0.0,1.0
20758,Operations,Bachelor's,m,0.0,2.0,0.4,1.0,0.0,0.12
20759,Sales & Marketing,Bachelor's,m,0.0,-2.0,-0.2,0.0,0.0,-0.48
20760,Sales & Marketing,Bachelor's,f,1.0,0.0,-0.6,0.0,0.0,-0.36
20761,Analytics,Bachelor's,f,0.0,2.0,-0.2,1.0,0.0,0.92
20762,Procurement,Bachelor's,m,2.0,-2.0,0.0,0.0,0.0,0.36
20763,Finance,Bachelor's,m,1.0,0.0,-0.6,0.0,0.0,-0.16
20764,Sales & Marketing,Bachelor's,m,0.0,2.0,-0.2,1.0,0.0,-0.36
20765,Sales & Marketing,Bachelor's,m,0.0,1.0,0.6,0.0,0.0,-0.28
20766,Sales & Marketing,Bachelor's,m,0.0,-2.0,-0.4,0.0,0.0,-0.44
20767,Sales & Marketing,Bachelor's,m,0.0,2.0,1.8,1.0,0.0,-0.48
20768,HR,Bachelor's,m,0.0,0.0,-0.4,1.0,0.0,-0.48
20769,Analytics,Master's & above,m,2.0,0.0,0.8,0.0,0.0,1.04
20770,Analytics,Bachelor's,m,0.0,0.0,-0.4,1.0,0.0,1.04
20771,Operations,Bachelor's,f,0.0,-2.0,-0.4,0.0,0.0,-0.2
20772,Analytics,Bachelor's,f,1.0,-1.0,-0.6,1.0,0.0,1.0
20773,Sales & Marketing,Bachelor's,f,0.0,0.0,-0.6,1.0,0.0,-0.44
20774,Operations,Bachelor's,f,0.0,0.0,0.0,0.0,0.0,0.04
20775,Operations,Bachelor's,f,0.0,1.0,2.6,0.0,0.0,-0.08
20776,Sales & Marketing,Bachelor's,m,0.0,0.0,-0.6,0.0,0.0,-0.4
20777,Sales & Marketing,Master's & above,m,0.0,0.0,1.6,0.0,0.0,-0.48
20778,Sales & Marketing,Master's & above,m,2.0,-1.0,0.4,0.0,0.0,-0.56
20779,Legal,Bachelor's,m,0.0,0.0,-0.8,0.0,0.0,-0.04
20780,Operations,Master's & above,m,0.0,2.0,3.2,1.0,0.0,0.0
20781,Sales & Marketing,Bachelor's,m,0.0,0.0,1.0,0.0,1.0,-0.32
20782,Sales & Marketing,Bachelor's,m,0.0,-2.0,2.2,0.0,0.0,-0.6
20783,Sales & Marketing,Bachelor's,m,1.0,-1.0,-0.6,0.0,0.0,-0.32
20784,Sales & Marketing,Bachelor's,m,0.0,2.0,0.2,0.0,0.0,-0.16
20785,Sales & Marketing,Bachelor's,m,0.0,-2.0,-0.6,0.0,0.0,-0.44
20786,Operations,Bachelor's,m,0.0,2.0,0.4,0.0,0.0,-0.16
20787,Sales & Marketing,Bachelor's,m,0.0,2.0,1.8,0.0,0.0,-0.2
20788,R&D,Bachelor's,m,1.0,0.0,-0.6,0.0,0.0,0.88
20789,Operations,Bachelor's,f,0.0,1.0,0.0,1.0,0.0,-0.12
20790,Procurement,Bachelor's,m,0.0,2.0,-0.2,1.0,0.0,0.2
20791,Sales & Marketing,Bachelor's,f,0.0,1.0,-0.6,1.0,0.0,-0.32
20792,Technology,Bachelor's,m,0.0,-2.0,-0.8,0.0,0.0,0.92
20793,Procurement,Bachelor's,m,0.0,2.0,0.4,0.0,0.0,0.32
20794,Procurement,Master's & above,f,0.0,1.0,0.4,1.0,0.0,0.24
20795,Procurement,Master's & above,m,0.0,0.0,0.8,0.0,0.0,0.0
20796,Sales & Marketing,Bachelor's,f,0.0,2.0,-0.2,0.0,0.0,-0.04
20797,Sales & Marketing,Bachelor's,m,1.0,-2.0,-0.6,1.0,0.0,-0.48
20798,Operations,Below Secondary,f,0.0,0.0,-0.6,1.0,0.0,-0.2
20799,Sales & Marketing,Master's & above,m,1.0,-2.0,0.4,0.0,0.0,-0.4
20800,Sales & Marketing,Bachelor's,m,0.0,0.0,2.2,0.0,0.0,-0.32
20801,Procurement,Bachelor's,f,0.0,1.0,0.8,0.0,0.0,0.4
20802,Technology,Bachelor's,m,1.0,1.0,2.2,0.0,0.0,0.72
20803,Procurement,Master's & above,f,0.0,0.0,-0.2,0.0,0.0,0.36
20804,Operations,Bachelor's,m,0.0,-2.0,0.4,0.0,0.0,0.0
20805,Technology,Bachelor's,f,0.0,2.0,-0.4,1.0,0.0,0.8
20806,HR,Master's & above,f,0.0,2.0,0.4,0.0,0.0,-0.28
20807,Operations,Master's & above,m,0.0,-1.0,2.0,0.0,0.0,0.04
20808,Sales & Marketing,Bachelor's,m,0.0,2.0,-0.6,1.0,0.0,1.52
20809,Legal,Master's & above,m,0.0,0.0,0.4,0.0,0.0,-0.12
20810,Procurement,Master's & above,m,0.0,2.0,0.2,0.0,0.0,0.92
20811,Operations,Bachelor's,f,0.0,0.0,0.0,1.0,0.0,0.04
20812,Sales & Marketing,Bachelor's,m,1.0,-1.0,0.4,0.0,0.0,-0.44
20813,Operations,Bachelor's,f,0.0,0.0,-0.8,0.0,0.0,0.04
20814,Operations,Bachelor's,m,0.0,1.0,-0.4,1.0,0.0,-0.24
20815,Procurement,Bachelor's,f,0.0,1.0,-0.8,0.0,0.0,0.36
20816,Operations,Bachelor's,f,0.0,2.0,0.0,1.0,0.0,0.0
20817,Procurement,Master's & above,f,0.0,0.0,0.0,0.0,0.0,0.56
20818,Sales & Marketing,Master's & above,m,1.0,-1.0,2.4,0.0,0.0,-0.24
20819,Technology,Bachelor's,f,0.0,0.0,-0.8,0.0,0.0,0.64
20820,Technology,Master's & above,m,1.0,2.0,-0.2,1.0,0.0,0.56
20821,Operations,Master's & above,f,0.0,1.0,0.2,0.0,0.0,0.08
20822,Technology,Bachelor's,m,0.0,0.0,2.8,0.0,0.0,0.8
20823,Operations,Bachelor's,f,0.0,2.0,-0.4,1.0,0.0,-0.08
20824,Analytics,Bachelor's,m,0.0,1.0,-0.6,0.0,0.0,0.96
20825,Procurement,Bachelor's,m,4.0,0.0,-0.8,0.0,0.0,0.44
20826,R&D,Master's & above,m,1.0,1.0,0.4,0.0,0.0,1.08
20827,Analytics,Master's & above,m,0.0,1.0,-0.6,1.0,0.0,1.0
20828,Sales & Marketing,Bachelor's,m,0.0,-2.0,0.0,0.0,0.0,-0.56
20829,Procurement,Bachelor's,f,0.0,0.0,-0.6,1.0,0.0,0.36
20830,Sales & Marketing,Master's & above,m,0.0,-1.0,1.0,0.0,0.0,-0.4
20831,Technology,Bachelor's,m,2.0,0.0,-0.4,0.0,0.0,0.68
20832,Finance,Master's & above,m,0.0,1.0,0.6,0.0,0.0,-0.08
20833,Procurement,Master's & above,m,2.0,-1.0,0.6,0.0,0.0,0.2
20834,Operations,Bachelor's,m,0.0,0.0,-0.8,1.0,0.0,-0.12
20835,Operations,Bachelor's,m,0.0,2.0,0.0,1.0,0.0,0.24
20836,Technology,Bachelor's,f,0.0,0.0,0.0,0.0,0.0,0.64
20837,HR,Bachelor's,m,0.0,0.0,-0.8,0.0,0.0,-0.52
20838,Technology,Master's & above,f,0.0,1.0,0.2,1.0,0.0,0.76
20839,Technology,Below Secondary,m,0.0,0.0,-0.8,1.0,0.0,0.84
20840,Operations,Master's & above,f,0.0,0.0,-0.2,1.0,0.0,-0.16
20841,Sales & Marketing,Bachelor's,m,0.0,1.0,-0.4,1.0,0.0,-0.48
20842,Procurement,Bachelor's,m,0.0,1.0,-0.2,0.0,0.0,0.24
20843,Sales & Marketing,Bachelor's,m,0.0,2.0,0.2,1.0,1.0,-0.56
20844,Analytics,Bachelor's,m,2.0,1.0,-0.6,1.0,0.0,1.0
20845,Operations,Bachelor's,m,2.0,0.0,0.0,0.0,0.0,0.04
20846,Procurement,Master's & above,f,0.0,0.0,2.0,0.0,0.0,0.24
20847,Procurement,Bachelor's,f,0.0,2.0,0.0,1.0,0.0,0.28
20848,Sales & Marketing,Bachelor's,m,0.0,1.0,-0.4,0.0,0.0,-0.4
20849,Procurement,Bachelor's,m,0.0,0.0,1.0,0.0,0.0,0.44
20850,Sales & Marketing,Bachelor's,m,0.0,0.0,-0.8,0.0,0.0,-0.48
20851,Sales & Marketing,Bachelor's,m,0.0,0.0,0.2,1.0,0.0,-0.4
20852,R&D,Master's & above,m,0.0,0.0,0.0,1.0,0.0,0.92
20853,Procurement,Master's & above,f,0.0,0.0,1.0,0.0,0.0,0.64
20854,Analytics,Bachelor's,m,1.0,0.0,2.0,0.0,0.0,1.08
20855,Procurement,Bachelor's,m,0.0,0.0,-0.8,1.0,0.0,0.28
20856,Operations,Bachelor's,m,0.0,2.0,0.6,1.0,0.0,0.08
20857,Legal,Below Secondary,m,0.0,0.0,-0.8,1.0,0.0,0.08
20858,Operations,Master's & above,m,0.0,0.0,1.0,0.0,0.0,-0.24
20859,Legal,Bachelor's,m,0.0,0.0,-0.6,0.0,0.0,-0.16
20860,Technology,Master's & above,m,0.0,-2.0,0.4,0.0,0.0,0.76
20861,Operations,Bachelor's,m,0.0,1.0,0.4,0.0,0.0,-0.04
20862,Sales & Marketing,Bachelor's,f,0.0,2.0,-0.4,0.0,0.0,-0.36
20863,Analytics,Bachelor's,m,0.0,1.0,-0.2,0.0,0.0,1.04
20864,Operations,Bachelor's,m,0.0,2.0,-0.6,0.0,0.0,0.0
20865,Procurement,Bachelor's,m,1.0,-2.0,0.0,0.0,0.0,0.16
20866,Technology,Bachelor's,m,1.0,1.0,-0.6,1.0,0.0,0.8
20867,Sales & Marketing,Master's & above,m,0.0,-1.0,0.4,0.0,0.0,-0.28
20868,Operations,Bachelor's,m,0.0,0.0,1.2,0.0,0.0,-0.16
20869,Technology,Bachelor's,f,0.0,0.0,-0.8,1.0,0.0,0.72
20870,Operations,Bachelor's,m,1.0,2.0,0.2,0.0,0.0,0.04
20871,Analytics,Bachelor's,f,0.0,2.0,-0.2,0.0,1.0,1.12
20872,Operations,Bachelor's,m,0.0,-2.0,1.0,1.0,0.0,-0.04
20873,Procurement,Below Secondary,m,0.0,0.0,-0.8,1.0,0.0,0.48
20874,Sales & Marketing,Bachelor's,m,0.0,0.0,-0.2,1.0,0.0,-0.44
20875,Sales & Marketing,Bachelor's,m,0.0,1.0,2.6,0.0,0.0,-0.28
20876,Technology,Master's & above,m,0.0,0.0,1.2,0.0,0.0,0.68
20877,Sales & Marketing,Master's & above,m,0.0,1.0,0.2,0.0,0.0,-0.6
20878,Sales & Marketing,Master's & above,m,0.0,-1.0,0.6,0.0,0.0,-0.4
20879,Analytics,Bachelor's,m,0.0,0.0,0.2,0.0,0.0,0.96
20880,HR,Bachelor's,f,0.0,1.0,0.0,1.0,0.0,-0.32
20881,Sales & Marketing,Bachelor's,f,0.0,0.0,-0.8,0.0,0.0,-0.48
20882,Sales & Marketing,Bachelor's,m,1.0,0.0,-0.6,0.0,0.0,-0.44
20883,Procurement,Bachelor's,f,0.0,1.0,0.6,1.0,0.0,0.24
20884,Operations,Bachelor's,m,1.0,-1.0,-0.4,1.0,0.0,-0.16
20885,Sales & Marketing,Bachelor's,m,0.0,-1.0,0.4,0.0,0.0,-0.48
20886,Procurement,Bachelor's,f,0.0,1.0,0.0,0.0,0.0,0.16
20887,Operations,Master's & above,m,0.0,0.0,1.0,1.0,0.0,0.08
20888,Technology,Bachelor's,m,0.0,0.0,-0.8,0.0,0.0,0.76
20889,Procurement,Bachelor's,m,1.0,0.0,0.4,0.0,0.0,0.4
20890,Technology,Master's & above,f,0.0,0.0,3.8,0.0,0.0,0.8
20891,Procurement,Master's & above,m,0.0,1.0,0.0,1.0,0.0,0.48
20892,Procurement,Master's & above,m,0.0,2.0,-0.2,1.0,1.0,0.4
20893,Sales & Marketing,Bachelor's,m,0.0,2.0,0.0,0.0,0.0,-0.2
20894,Sales & Marketing,Bachelor's,m,0.0,0.0,-0.8,1.0,0.0,-0.44
20895,Procurement,Bachelor's,f,0.0,1.0,-0.2,0.0,0.0,0.4
20896,Procurement,Bachelor's,m,0.0,2.0,1.2,1.0,0.0,0.44
20897,Sales & Marketing,Bachelor's,m,0.0,1.0,-0.4,1.0,1.0,-0.52
20898,Sales & Marketing,Master's & above,m,0.0,0.0,0.6,1.0,0.0,-0.44
20899,HR,Master's & above,f,0.0,2.0,0.6,0.0,0.0,-0.56
20900,Operations,Bachelor's,m,0.0,2.0,0.0,1.0,0.0,-0.08
20901,R&D,Bachelor's,m,0.0,0.0,-0.4,0.0,0.0,1.2
20902,Operations,Bachelor's,m,0.0,2.0,3.2,0.0,0.0,-0.08
20903,Operations,Bachelor's,m,0.0,-2.0,-0.4,0.0,0.0,0.2
20904,Sales & Marketing,Master's & above,m,0.0,0.0,-0.4,0.0,0.0,-0.36
20905,Operations,Bachelor's,m,0.0,2.0,0.4,1.0,0.0,-0.12
20906,Sales & Marketing,Bachelor's,m,0.0,1.0,-0.4,0.0,0.0,-0.36
20907,Technology,Bachelor's,f,0.0,0.0,-0.2,0.0,0.0,0.6
20908,Operations,Master's & above,m,1.0,2.0,-0.2,0.0,0.0,-0.12
20909,Operations,Bachelor's,f,0.0,-2.0,0.8,0.0,0.0,-0.2
20910,Analytics,Bachelor's,m,1.0,2.0,0.0,1.0,0.0,0.84
20911,Sales & Marketing,Bachelor's,m,0.0,2.0,1.0,0.0,0.0,-0.24
20912,Finance,Bachelor's,m,1.0,0.0,-0.8,0.0,1.0,1.2
20913,Sales & Marketing,Bachelor's,f,0.0,1.0,0.2,0.0,0.0,-0.28
20914,Operations,Bachelor's,f,0.0,0.0,-0.4,1.0,0.0,-0.08
20915,Analytics,Bachelor's,m,0.0,0.0,0.0,0.0,0.0,0.92
20916,Sales & Marketing,Bachelor's,m,0.0,-2.0,0.4,0.0,0.0,-0.28
20917,Analytics,Bachelor's,m,0.0,0.0,-0.4,0.0,0.0,1.0
20918,Procurement,Master's & above,m,0.0,1.0,1.6,0.0,0.0,0.52
20919,Operations,Bachelor's,f,0.0,-2.0,0.8,0.0,0.0,-0.04
20920,Technology,Master's & above,f,0.0,-1.0,0.0,1.0,0.0,0.8
20921,Operations,Master's & above,m,0.0,1.0,0.6,0.0,0.0,-0.04
20922,Analytics,Master's & above,m,1.0,0.0,0.8,0.0,0.0,0.92
20923,Sales & Marketing,Master's & above,m,1.0,-2.0,1.2,0.0,0.0,-0.36
20924,Sales & Marketing,Master's & above,m,0.0,0.0,0.4,0.0,0.0,-0.28
20925,Procurement,Master's & above,m,0.0,1.0,-0.4,1.0,0.0,0.36
20926,Sales & Marketing,Bachelor's,m,1.0,-1.0,-0.4,0.0,0.0,-0.28
20927,Finance,Bachelor's,m,0.0,0.0,-0.2,0.0,0.0,-0.08
20928,Analytics,Master's & above,m,1.0,0.0,0.0,0.0,0.0,0.96
20929,Analytics,Bachelor's,m,1.0,2.0,-0.4,1.0,0.0,1.08
20930,Operations,Master's & above,f,0.0,2.0,1.0,0.0,0.0,-0.12
20931,Legal,Bachelor's,m,0.0,0.0,0.4,0.0,0.0,-0.04
20932,Legal,Bachelor's,m,0.0,1.0,2.4,0.0,0.0,0.2
20933,Procurement,Bachelor's,f,0.0,0.0,2.2,0.0,0.0,0.16
20934,Sales & Marketing,Bachelor's,m,0.0,0.0,0.0,0.0,0.0,-0.24
20935,Procurement,Below Secondary,m,0.0,1.0,-0.6,1.0,0.0,0.32
20936,Procurement,Master's & above,m,7.0,-2.0,-0.4,0.0,0.0,0.4
20937,Sales & Marketing,Master's & above,f,0.0,0.0,1.0,0.0,0.0,-0.52
20938,Procurement,Bachelor's,f,0.0,1.0,0.6,1.0,0.0,0.36
20939,R&D,Master's & above,m,0.0,0.0,-0.8,0.0,0.0,1.04
20940,Analytics,Bachelor's,m,1.0,0.0,-0.8,0.0,0.0,1.16
20941,Operations,Bachelor's,f,0.0,0.0,0.4,1.0,0.0,-0.08
20942,Procurement,Bachelor's,m,0.0,0.0,-0.8,0.0,0.0,1.2
20943,Sales & Marketing,Bachelor's,m,0.0,0.0,-0.2,0.0,0.0,-0.32
20944,Technology,Master's & above,m,0.0,2.0,-0.4,1.0,0.0,0.92
20945,Sales & Marketing,Bachelor's,f,0.0,0.0,-0.6,0.0,0.0,-0.4
20946,Sales & Marketing,Master's & above,m,0.0,-2.0,0.0,0.0,0.0,-0.24
20947,Operations,Master's & above,f,0.0,1.0,1.8,1.0,0.0,-0.08
20948,Procurement,Bachelor's,m,0.0,0.0,0.0,0.0,0.0,0.36
20949,Sales & Marketing,Master's & above,f,1.0,0.0,-0.2,0.0,0.0,-0.48
20950,Finance,Bachelor's,m,0.0,0.0,-0.8,0.0,0.0,-0.12
20951,Sales & Marketing,Master's & above,m,0.0,-2.0,0.0,0.0,0.0,-0.44
20952,Technology,Bachelor's,m,0.0,2.0,0.0,1.0,0.0,0.88
20953,R&D,Bachelor's,m,1.0,0.0,-0.4,0.0,0.0,1.28
20954,Technology,Master's & above,m,1.0,1.0,-0.2,1.0,0.0,0.76
20955,Operations,Bachelor's,f,1.0,0.0,0.2,1.0,0.0,-0.08
20956,Sales & Marketing,Bachelor's,m,0.0,-1.0,0.4,0.0,0.0,-0.36
20957,Operations,Bachelor's,m,1.0,0.0,-0.8,0.0,0.0,-0.16
20958,Sales & Marketing,Bachelor's,m,1.0,2.0,0.2,1.0,0.0,-0.56
20959,Finance,Bachelor's,m,1.0,2.0,0.8,0.0,0.0,-0.04
20960,Technology,Bachelor's,m,0.0,1.0,-0.2,0.0,0.0,0.8
20961,Operations,Bachelor's,f,0.0,1.0,1.6,1.0,0.0,-0.12
20962,Sales & Marketing,Bachelor's,f,0.0,1.0,-0.6,0.0,0.0,-0.48
20963,Technology,Master's & above,f,0.0,0.0,1.0,0.0,0.0,0.72
20964,Procurement,Master's & above,f,4.0,0.0,2.0,0.0,0.0,0.56
20965,Analytics,Bachelor's,m,0.0,0.0,-0.4,1.0,0.0,1.16
20966,Procurement,Bachelor's,m,1.0,0.0,-0.6,0.0,0.0,0.24
20967,Technology,Bachelor's,f,1.0,1.0,0.0,1.0,0.0,0.84
20968,Sales & Marketing,Bachelor's,m,0.0,1.0,2.8,1.0,0.0,-0.2
